60.000,3.000
0.000,48037.155,51349.013,32011.507,15213.482,5177.265,1699.229,0.000
0.007,48079.285,51213.262,32077.042,15283.698,5128.114,1804.553,0.000
0.023,47882.680,51660.304,31559.784,15187.736,5130.454,1806.894,0.000
0.029,48413.981,51267.094,31819.583,15463.919,5062.579,1771.786,0.000
0.034,47870.977,51360.716,32013.847,15016.877,5158.541,1830.299,0.000
0.040,47730.545,51077.511,31920.226,15222.844,5137.476,1893.493,0.000
0.046,47892.042,51112.619,31850.010,15133.904,5158.541,1804.553,0.000
0.051,47868.636,51929.466,31957.675,14925.596,4985.341,1743.699,0.000
0.057,47896.723,51143.046,31814.902,15194.758,5088.325,1823.277,0.000
0.063,48046.517,51229.646,31920.226,15307.104,5095.346,1834.980,0.000
0.069,48088.647,51447.316,32456.209,15091.774,5088.325,1830.299,0.000
0.075,48294.614,51468.380,32158.961,15030.920,5294.292,1797.531,0.000
0.083,47578.410,51224.965,31871.075,14941.980,5186.627,1790.510,0.000
0.088,47856.934,51299.862,32360.247,15150.288,5100.027,1832.639,0.000
0.094,48130.776,51246.029,32086.404,15302.423,5144.498,1785.829,0.000
0.100,48128.436,51248.370,31728.302,15239.228,5025.130,1858.385,0.000
0.106,47756.291,51381.781,32212.793,14974.747,5324.719,1802.213,0.000
0.114,47868.636,51278.797,31728.302,15159.650,5287.270,1736.678,0.000
0.120,48184.609,51175.813,32070.020,14918.575,5020.449,1809.234,0.000
0.125,48268.868,51402.845,32526.425,15014.537,5195.989,1788.169,0.000
0.131,47875.658,51676.688,31992.783,15239.228,5158.541,1834.980,0.000
0.137,48016.090,51316.246,32067.680,14890.488,5167.903,1881.791,0.000
0.143,48147.160,51168.792,31990.442,15360.936,5123.433,1739.018,0.000
0.148,48037.155,51318.586,32091.085,15124.542,5029.811,1809.234,0.000
0.154,47861.615,51395.824,32006.826,15112.839,5041.514,1804.553,0.000
0.160,47728.204,51538.596,31866.394,15051.985,5128.114,1746.040,0.000
0.166,48044.177,51316.246,31974.058,15075.391,5095.346,1802.213,0.000
0.174,48325.041,51463.699,31737.664,14888.148,5083.644,1762.423,0.000
0.189,47971.620,51147.727,32187.047,14827.294,5088.325,1818.596,0.000
0.195,47552.664,51622.856,31871.075,15232.206,5226.416,1750.721,0.000
0.201,48055.879,51749.245,31981.080,15115.180,5165.562,1795.191,0.000
0.207,48432.706,51463.699,32130.874,15075.391,5081.303,1830.299,0.000
0.215,47789.058,51463.699,32025.550,14913.894,5123.433,1767.104,0.000
0.220,48505.262,51423.910,31777.453,15232.206,5088.325,1823.277,0.000
0.226,47922.469,51302.202,32074.701,15255.612,5135.135,1781.148,0.000
0.232,47945.874,51461.359,32245.561,15281.358,5170.243,1774.126,0.000
0.238,48545.051,51538.596,32320.458,14995.812,5093.006,1839.661,0.000
0.243,47615.859,51463.699,32072.361,15073.050,5151.519,1802.213,0.000
0.249,48055.879,51512.851,32268.966,15154.969,5261.524,1743.699,0.000
0.255,48107.371,51491.786,32128.534,15026.239,5205.351,1781.148,0.000
0.260,47978.642,51475.402,31988.102,15049.645,5275.568,1741.359,0.000
0.266,47870.977,51419.229,31967.037,15110.499,5259.184,1813.915,0.000
0.272,48563.776,51627.537,32222.155,14899.850,5053.217,1842.002,0.000
0.278,48144.820,51524.553,32194.069,15030.920,5163.222,1844.342,0.000
0.283,47882.680,51271.775,32390.674,15051.985,5116.411,1781.148,0.000
0.289,47732.885,51161.770,32091.085,15328.168,5118.752,1781.148,0.000
0.295,47903.744,51112.619,31997.464,15206.461,5069.600,1886.472,0.000
0.301,47613.518,51004.954,32449.187,15271.996,5116.411,1748.380,0.000
0.307,47679.053,51753.926,31695.535,15145.607,5013.427,1823.277,0.000
0.315,47892.042,51229.646,32025.550,15234.547,5135.135,1769.445,0.000
0.320,47983.323,51622.856,32332.160,14958.364,5266.205,1844.342,0.000
0.326,47943.534,51456.678,31981.080,15133.904,5093.006,1769.445,0.000
0.332,48011.409,51978.617,32027.891,14958.364,5174.924,1750.721,0.000
0.338,47992.685,51540.937,31882.778,15068.369,5114.071,1720.294,0.000
0.343,47924.809,51398.164,32144.917,15124.542,5200.670,1727.315,0.000
0.349,48264.187,51533.915,31983.421,15033.261,5289.611,1870.088,0.000
0.355,48032.474,50653.874,32034.912,15059.007,5125.773,1750.721,0.000
0.360,48215.036,51363.056,32070.020,14920.915,5207.692,1797.531,0.000
0.366,48355.468,51145.386,32416.420,15108.158,5198.330,1837.321,0.000
0.372,47950.555,51388.802,32275.987,15070.709,5160.881,1746.040,0.000
0.378,47917.788,51576.045,32055.977,15112.839,5242.800,1783.488,0.000
0.383,48182.268,51180.494,31812.561,15271.996,5207.692,1724.975,0.000
0.389,48186.949,51391.143,31960.015,15005.174,5167.903,1888.812,0.000
0.395,48083.966,51800.736,32002.145,14878.786,5097.687,1783.488,0.000
0.401,47856.934,51255.392,31964.696,15239.228,5139.816,1731.996,0.000
0.406,48086.306,51639.239,32364.928,15183.055,4924.487,1729.656,0.000
0.412,47868.636,51215.603,32023.210,15073.050,5135.135,1809.234,0.000
0.418,48046.517,51524.553,32219.815,15063.688,4985.341,1739.018,0.000
0.424,47913.107,51042.403,31700.216,15201.779,5142.157,1806.894,0.000
0.429,47690.756,51381.781,32397.695,15108.158,4980.660,1874.769,0.000
0.435,48278.230,51138.365,32079.382,15087.093,5200.670,1799.872,0.000
0.441,48076.944,51739.882,31934.269,15122.201,5303.654,1769.445,0.000
