60.000,3.000
0.000,46342.607,49815.962,30506.542,14600.262,5139.816,1792.850,0.000
0.008,46122.597,49769.151,31026.141,14686.862,5125.773,1813.915,0.000
0.014,46010.251,49837.027,30864.644,14712.608,5046.195,1802.213,0.000
0.022,46031.316,49689.573,30562.715,14721.970,5107.049,1935.623,0.000
0.037,46260.688,49617.017,30719.531,14581.538,5121.092,1757.742,0.000
0.043,46190.472,49511.692,30621.229,14675.159,5135.135,1844.342,0.000
0.049,46094.510,49361.898,30939.542,14597.921,5062.579,1811.575,0.000
0.057,45815.987,49453.179,30836.558,14520.684,5057.898,1877.110,0.000
0.063,45827.689,50136.616,30766.342,14857.721,4964.276,1912.218,0.000
0.069,45869.819,49837.027,30614.207,14497.278,4915.125,1846.683,0.000
0.075,46464.315,49427.433,30768.682,14675.159,4992.363,1858.385,0.000
0.090,46066.424,49617.017,30895.071,14841.337,5048.536,1818.596,0.000
0.096,46068.764,49228.488,30995.714,14389.614,5013.427,1872.429,0.000
0.102,46253.667,49841.708,30703.147,14501.959,5074.281,1923.920,0.000
0.107,46136.640,49593.611,30796.769,14595.581,5025.130,1811.575,0.000
0.113,45844.073,49874.476,30600.164,14766.440,5125.773,1867.747,0.000
0.119,46080.467,49998.524,30433.986,14611.964,5142.157,1856.045,0.000
0.124,45979.824,49598.292,31157.211,14569.835,4971.298,1853.704,0.000
0.130,46358.991,49581.909,30597.823,14501.959,5053.217,1858.385,0.000
0.136,46312.180,49696.595,30532.288,14726.651,5090.665,1802.213,0.000
0.142,46281.753,49471.903,30438.667,14656.435,5151.519,1881.791,0.000
0.147,46071.105,49415.731,30675.061,14635.370,5081.303,1870.088,0.000
0.153,46284.094,49951.713,30735.915,14523.024,5146.838,1785.829,0.000
0.159,45855.776,49530.417,30527.607,14853.040,5011.087,1867.747,0.000
0.165,45890.884,49586.590,30864.644,14794.526,4973.638,1806.894,0.000
0.170,46124.937,49579.568,31117.422,14691.543,5076.622,1930.942,0.000
0.176,46492.401,49736.384,30831.877,14747.716,4971.298,1973.072,0.000
0.182,46354.310,49481.266,30719.531,14609.624,4992.363,1839.661,0.000
0.187,46164.726,49357.217,30960.606,14640.051,5083.644,1856.045,0.000
0.193,46028.975,49581.909,30682.083,14717.289,5036.833,1746.040,0.000
0.199,45612.360,49186.358,30789.747,14590.900,5083.644,1797.531,0.000
0.205,45991.527,49949.373,30939.542,14827.294,5156.200,1860.726,0.000
0.210,45675.554,49822.984,30719.531,14766.440,5036.833,1746.040,0.000
0.216,46277.072,49516.374,31250.833,14513.662,5123.433,1799.872,0.000
0.222,46143.662,49720.000,30300.575,14574.516,5076.622,1849.023,0.000
0.228,46113.235,49282.320,30677.402,14516.003,5081.303,1849.023,0.000
0.233,46087.489,49972.778,31304.665,14656.435,5025.130,1856.045,0.000
0.239,46045.359,49867.454,30815.493,14661.116,5123.433,1783.488,0.000
0.245,45940.035,49303.385,30972.309,14644.732,5116.411,1886.472,0.000
0.250,46141.321,49546.801,30637.612,14415.359,5067.260,1778.807,0.000
0.256,45991.527,49963.416,30429.305,14757.078,5018.109,1792.850,0.000
0.262,45900.246,49581.909,30920.817,14626.008,5020.449,1827.958,0.000
0.268,46452.612,49614.676,31173.595,14626.008,4847.249,1846.683,0.000
0.273,46429.207,49890.859,30829.536,14747.716,5057.898,1778.807,0.000
0.279,46045.359,49853.411,30796.769,14815.591,5156.200,1926.261,0.000
0.285,45942.376,49780.854,30754.639,14597.921,5130.454,1764.764,0.000
